iter	Passed	Remaining
0	3	3375
1	5	2663
2	7	2426
3	9	2327
4	11	2262
5	13	2204
6	16	2375
7	19	2377
8	21	2326
9	23	2315
10	25	2305
11	28	2305
12	30	2344
13	32	2322
14	35	2321
15	37	2297
16	39	2280
17	44	2409
18	46	2385
19	48	2366
20	50	2348
21	52	2328
22	54	2308
23	58	2361
24	60	2356
25	62	2336
26	64	2315
27	66	2296
28	68	2285
29	70	2270
30	73	2299
31	75	2287
32	77	2274
33	79	2261
34	81	2248
35	83	2236
36	86	2261
37	89	2261
38	91	2249
39	93	2238
40	95	2232
41	97	2224
42	99	2221
43	103	2240
44	105	2231
45	108	2251
46	110	2242
47	112	2232
48	115	2247
49	118	2242
50	120	2233
51	122	2232
52	125	2238
53	127	2228
54	130	2237
55	134	2261
56	136	2260
57	138	2252
58	140	2243
59	142	2238
60	145	2245
61	148	2247
62	150	2239
63	152	2231
64	154	2223
65	156	2215
66	159	2218
67	162	2220
68	164	2215
69	166	2207
70	168	2199
71	169	2190
72	171	2183
73	176	2204
74	178	2199
75	180	2191
76	182	2184
77	184	2176
78	186	2169
79	189	2180
80	191	2176
81	193	2170
82	195	2154
83	196	2148
84	198	2141
85	200	2135
86	206	2164
87	208	2158
88	210	2152
89	212	2146
90	214	2139
91	216	2134
92	219	2145
93	222	2140
94	224	2134
95	225	2127
96	227	2121
97	229	2116
98	233	2122
99	235	2119
100	237	2115
101	239	2109
102	241	2104
103	243	2100
104	246	2097
105	249	2101
106	251	2098
107	253	2092
108	255	2087
109	257	2082
110	259	2076
111	263	2088
112	265	2083
113	267	2078
114	269	2072
115	271	2067
116	272	2058
117	274	2054
118	278	2062
119	280	2058
120	282	2053
121	284	2045
122	286	2040
123	288	2035
124	291	2039
125	293	2037
126	295	2030
127	297	2025
128	299	2020
129	301	2015
130	303	2010
131	306	2018
132	309	2014
133	310	2009
134	312	2005
135	314	2000
136	316	1995
137	319	1994
138	322	1996
139	324	1993
140	326	1989
141	327	1980
142	329	1977
143	331	1973
144	335	1976
145	337	1974
146	339	1969
147	341	1965
148	343	1962
149	345	1958
150	347	1953
151	351	1960
152	353	1957
153	355	1952
154	357	1949
155	359	1945
156	361	1941
157	365	1945
158	367	1943
159	369	1939
160	370	1932
161	372	1928
162	374	1924
163	376	1920
164	380	1926
165	382	1923
166	384	1920
167	386	1916
168	388	1912
169	390	1908
170	394	1914
171	397	1912
172	399	1908
173	401	1904
174	403	1901
175	405	1897
176	409	1906
177	412	1904
178	414	1900
179	416	1896
180	418	1892
181	420	1888
182	424	1894
183	426	1893
184	429	1890
185	431	1887
186	433	1885
187	435	1881
188	440	1890
189	442	1886
190	444	1882
191	446	1879
192	448	1875
193	450	1871
194	454	1875
195	456	1873
196	458	1869
197	460	1866
198	462	1862
199	464	1858
200	467	1858
201	470	1857
202	472	1853
203	474	1850
204	476	1846
205	478	1842
206	479	1838
207	484	1843
208	486	1839
209	488	1836
210	490	1833
211	492	1829
212	494	1825
213	497	1828
214	500	1826
215	502	1824
216	504	1820
217	506	1816
218	508	1812
219	512	1815
220	514	1813
221	516	1810
222	518	1807
223	520	1803
224	522	1800
225	524	1797
226	528	1799
227	530	1796
228	532	1793
229	534	1790
230	536	1786
231	538	1783
232	542	1784
233	544	1783
234	547	1782
235	549	1780
236	551	1777
237	557	1784
238	562	1789
239	564	1787
240	566	1785
241	569	1782
242	573	1787
243	577	1788
244	579	1785
245	581	1782
246	583	1779
247	587	1781
248	590	1779
249	592	1776
250	594	1773
251	596	1769
252	598	1765
253	600	1764
254	603	1763
255	606	1761
256	608	1758
257	610	1756
258	613	1754
259	617	1758
260	620	1756
261	622	1752
262	624	1748
263	626	1745
264	628	1741
265	634	1751
266	637	1749
267	640	1748
268	642	1745
269	648	1752
270	650	1749
271	652	1747
272	655	1745
273	661	1752
274	664	1753
275	668	1752
276	670	1749
277	672	1745
278	675	1746
279	679	1746
280	681	1742
281	683	1739
282	686	1738
283	689	1737
284	692	1738
285	696	1738
286	698	1734
287	700	1731
288	703	1730
289	705	1728
290	708	1727
291	710	1723
292	712	1719
293	714	1716
294	718	1716
295	721	1714
296	723	1711
297	725	1708
298	727	1704
299	729	1701
300	732	1700
301	735	1698
302	736	1695
303	738	1691
304	740	1688
305	742	1684
306	745	1681
307	748	1681
308	750	1678
309	752	1674
310	754	1671
311	756	1667
312	758	1664
313	762	1664
314	764	1662
315	766	1658
316	768	1655
317	770	1651
318	772	1648
319	775	1647
320	777	1644
321	779	1641
322	781	1637
323	783	1634
324	785	1630
325	787	1627
326	791	1628
327	793	1625
328	795	1622
329	797	1618
330	799	1615
331	801	1612
332	803	1610
333	806	1608
334	808	1605
335	810	1601
336	812	1598
337	814	1595
338	816	1591
339	820	1592
340	822	1589
341	824	1585
342	826	1582
343	828	1579
344	830	1576
345	832	1574
346	835	1572
347	837	1568
348	839	1566
349	841	1563
350	843	1559
351	845	1556
352	849	1557
353	851	1554
354	853	1551
355	855	1547
356	857	1544
357	859	1541
358	863	1541
359	865	1538
360	867	1535
361	869	1532
362	871	1529
363	873	1526
364	875	1522
365	877	1520
366	879	1517
367	881	1514
368	883	1511
369	885	1508
370	887	1505
371	891	1505
372	894	1503
373	896	1500
374	898	1496
375	900	1494
376	902	1491
377	905	1490
378	908	1487
379	910	1484
380	911	1481
381	914	1478
382	915	1475
383	917	1472
384	921	1472
385	923	1469
386	925	1465
387	927	1463
388	929	1459
389	931	1456
390	933	1454
391	937	1453
392	939	1450
393	941	1447
394	943	1444
395	944	1441
396	946	1438
397	950	1438
398	952	1435
399	955	1432
400	956	1429
401	958	1426
402	960	1423
403	964	1422
404	966	1419
405	968	1417
406	970	1414
407	972	1410
408	974	1407
409	976	1404
410	979	1404
411	982	1402
412	984	1399
413	986	1396
414	988	1393
415	990	1390
416	994	1390
417	996	1387
418	998	1384
419	1000	1381
420	1002	1378
421	1004	1376
422	1009	1377
423	1012	1374
424	1014	1371
425	1016	1369
426	1018	1366
427	1019	1363
428	1023	1362
429	1026	1360
430	1027	1357
431	1030	1354
432	1032	1351
433	1034	1348
434	1035	1345
435	1039	1344
436	1041	1341
437	1043	1338
438	1045	1335
439	1047	1332
440	1049	1329
441	1052	1329
442	1055	1326
443	1057	1323
444	1059	1321
445	1061	1318
446	1063	1315
447	1065	1312
448	1068	1311
449	1071	1309
450	1074	1307
451	1076	1304
452	1078	1301
453	1081	1300
454	1083	1298
455	1085	1295
456	1087	1292
457	1090	1290
458	1092	1288
459	1097	1288
460	1101	1288
461	1105	1287
462	1109	1287
463	1113	1285
464	1116	1284
465	1119	1282
466	1122	1280
467	1127	1282
468	1130	1280
469	1133	1278
470	1141	1282
471	1146	1282
472	1149	1280
473	1152	1278
474	1155	1277
475	1159	1276
476	1162	1274
477	1165	1272
478	1168	1270
479	1174	1272
480	1178	1271
481	1181	1270
482	1184	1268
483	1191	1270
484	1194	1268
485	1197	1266
486	1203	1268
487	1208	1267
488	1212	1266
489	1215	1265
490	1223	1268
491	1226	1266
492	1229	1264
493	1236	1266
494	1239	1264
495	1243	1263
496	1246	1261
497	1253	1263
498	1260	1265
499	1266	1266
500	1271	1266
501	1274	1264
502	1277	1262
503	1285	1264
504	1288	1262
505	1291	1261
506	1299	1263
507	1302	1261
508	1308	1261
509	1314	1262
510	1318	1261
511	1320	1258
512	1324	1256
513	1330	1258
514	1336	1259
515	1347	1263
516	1351	1262
517	1355	1261
518	1360	1261
519	1364	1259
520	1366	1256
521	1372	1257
522	1374	1254
523	1377	1250
524	1379	1248
525	1382	1245
526	1386	1244
527	1389	1242
528	1392	1240
529	1398	1239
530	1404	1240
531	1409	1239
532	1413	1238
533	1424	1242
534	1427	1241
535	1433	1241
536	1437	1239
537	1440	1237
538	1444	1235
539	1454	1238
540	1457	1236
541	1460	1234
542	1467	1234
543	1470	1232
544	1473	1230
545	1481	1231
546	1484	1229
547	1489	1228
548	1495	1228
549	1499	1226
550	1502	1224
551	1506	1222
552	1514	1224
553	1517	1221
554	1527	1224
555	1530	1221
556	1533	1219
557	1535	1216
558	1537	1213
559	1540	1210
560	1542	1207
561	1545	1204
562	1547	1201
563	1550	1198
564	1553	1196
565	1556	1193
566	1558	1190
567	1560	1186
568	1563	1184
569	1566	1181
570	1568	1178
571	1575	1178
572	1577	1175
573	1579	1172
574	1584	1170
575	1588	1169
576	1590	1166
577	1592	1162
578	1594	1159
579	1597	1156
580	1600	1154
581	1603	1151
582	1605	1148
583	1607	1144
584	1611	1143
585	1615	1141
586	1617	1138
587	1620	1135
588	1622	1132
589	1630	1133
590	1633	1130
591	1635	1127
592	1637	1124
593	1640	1121
594	1644	1119
595	1646	1116
596	1648	1113
597	1650	1109
598	1652	1106
599	1660	1106
600	1662	1103
601	1664	1100
602	1666	1097
603	1668	1093
604	1672	1092
605	1674	1088
606	1677	1086
607	1680	1083
608	1682	1080
609	1689	1079
610	1692	1077
611	1694	1074
612	1696	1070
613	1698	1067
614	1702	1065
